"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: impl","Param: payloadType","Param: seed","Param: size","Param: testType","Param: threads"
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,14561.300709,46.411068,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1024,even,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,7027.339257,503.605468,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,8192,even,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,5146.166609,51.919735,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,16384,even,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,339.695024,29.969828,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,131072,even,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,58.982948,4.056634,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1048576,even,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,44372.811207,150.341906,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,128,even,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,43346.679493,193.921944,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1024,even,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,34199.134874,201.571477,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,8192,even,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,27095.427640,120.781036,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,16384,even,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,3800.537135,126.469189,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,131072,even,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,330.548407,9.174234,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1048576,even,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,20332.819782,142.403013,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,128,even,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,19567.427599,210.493892,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1024,even,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,11089.315363,706.541728,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,8192,even,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,8194.668497,438.680270,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,16384,even,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,629.957375,46.841427,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,131072,even,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,95.265453,5.175112,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1048576,even,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",32,40,43089.132977,387.235953,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,128,even,32
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",32,40,41846.704460,268.815846,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1024,even,32
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",32,40,33211.372980,175.714078,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,8192,even,32
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",32,40,26095.399965,80.560816,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,16384,even,32
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",32,40,4412.049557,147.967893,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,131072,even,32
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",32,40,310.211438,11.838343,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1048576,even,32
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",4,40,28162.993274,198.621626,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,128,even,4
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",4,40,27302.530726,151.115107,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1024,even,4
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",4,40,17184.883050,790.007849,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,8192,even,4
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",4,40,12555.525094,525.032216,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,16384,even,4
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",4,40,1315.398931,63.737098,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,131072,even,4
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",4,40,169.400478,10.226952,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1048576,even,4
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",8,40,37750.556128,237.244637,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,128,even,8
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",8,40,36183.847878,421.937977,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1024,even,8
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",8,40,27950.999089,447.371247,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,8192,even,8
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",8,40,20304.559743,672.187783,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,16384,even,8
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",8,40,2412.457532,131.051427,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,131072,even,8
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",8,40,315.827480,5.375109,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1048576,even,8
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,19373.276430,337.078847,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,128,iterate,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,18007.801313,30.299254,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1024,iterate,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,9672.671920,160.858492,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,8192,iterate,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,5548.276568,24.999694,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,16384,iterate,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,728.507646,3.222504,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,131072,iterate,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,84.871622,1.224471,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1048576,iterate,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,72857.607351,386.161391,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,128,iterate,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,66895.617911,1089.927142,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1024,iterate,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,58190.101486,647.207593,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,8192,iterate,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,47112.531123,342.181118,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,16384,iterate,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,8799.647338,132.712584,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,131072,iterate,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,807.221750,15.634235,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1048576,iterate,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,27325.895476,126.556360,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,128,iterate,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,25846.223613,72.862665,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1024,iterate,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,15782.959975,318.164876,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,8192,iterate,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,9991.662390,98.495023,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,16384,iterate,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,1425.101508,44.450854,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,131072,iterate,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,158.373798,10.985848,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1048576,iterate,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",32,40,71774.348974,413.466780,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,128,iterate,32
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",32,40,69885.410546,296.260318,"ops/s",WRAPPED_LIST,STRING_DICTIONARY,42,1024,iterate,32
